ItemID,Subsystem,Item,Spec / Requirement,Qty (Min),Notes
BOM-001,Test Article,Representative panel/coupon,Al 6061-T6 or similar; thickness 3–6 mm; repeatable fixture interface,1,"Reference build in docs; dimensions can vary if documented"
BOM-010,Instrumentation,Tri-ax accelerometer (IEPE),Flat response to >= 5 kHz (prefer >= 10 kHz); ~10–100 mV/g; mass minimized,3,"Minimum 3 locations; add more for mode-shape confidence"
BOM-011,Instrumentation,DAQ for IEPE sensors,IEPE power; >= 24-bit preferred; sample rate >= 51.2 kHz (higher if needed); anti-aliasing,1,"Any equivalent DAQ is acceptable if documented"
BOM-012,Instrumentation,Impact hammer (for FRF),Instrumented hammer with force sensor; tips for frequency shaping,1,"Alternative: shaker system if available"
BOM-013,Instrumentation,Cables + strain relief,Low-noise coax for IEPE; proper strain relief and routing,1 set,"Cable handling affects data; treat as part of test integrity"
BOM-020,Passive Layer (A),CLD sheet material,Viscoelastic CLD sheet; thickness 0.5–2 mm; adhesive-backed or bonded; temp range documented,1 set,"Used as patches on panels/high-strain regions"
BOM-021,Passive Layer (A),Bonding adhesive / primer,Structural adhesive compatible with substrate; controlled cure; temp range documented,1 set,"Use an aerospace-grade process if available; document cure cycle"
BOM-030,Targeted Damping (B),Piezo patches (PZT),Bondable patches sized for panel; coupling to target mode; temp limits documented,4,"Count depends on mode shape and placement; start with 4"
BOM-031,Targeted Damping (B),Shunt network components,R/L/C components sized for target freq; power rating margin; enclosure,1 set,"Goal: tuned shunt damping at dominant resonance peaks"
BOM-032,Targeted Damping (B),TMD / inertial module components,Mass block + spring element + damping element; tuned to target mode; secure mounting,1 set,"Can be a simple bolted mass + compliant element to start"
BOM-040,Fluidic / STF Module (A/B),Sealed damping cartridge housing,Leak-tight housing; serviceable; compatible with fill medium; fastener retention,2,"Use as interface inserts or panel-edge modules; not blanket coating"
BOM-041,Fluidic / STF Module (A/B),Fill medium (viscous / STF candidate),High viscosity or STF candidate; behavior characterized by shear-rate; stable storage,1,"Exact formulation is test-dependent; document batch and behavior"
BOM-042,Fluidic / STF Module (A/B),Accumulator / compliance element,Small bladder/accumulator to manage pressure/thermal expansion,2,"Borrowed principle from pressure-compensated housings: keep behavior stable"
BOM-050,AHIS Truth Layer (C),Optional strain sensor (PVDF or strain gauge),Placed at high-strain region; sampling aligned with accel,2,"Optional but recommended; improves correlation to damage onset"
BOM-060,Fixture & Safety,Mounting hardware,Grade-appropriate bolts; washers; threadlocker policy documented,1 set,"Avoid fastener loosening artifacts during test"
BOM-061,Fixture & Safety,Guarding / retention,Safety tethers or guards for any added masses/modules,1 set,"No test runs with unsecured masses/modules"
BOM-070,Documentation,Calibration references,Sensor calibration certificates or reference values,1 set,"Traceability requirement"
